File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lv_win.o,0.066080%,148,2,120,28,0,2
rt_memcpy_v6.o,0.061615%,138,0,138,0,0,0
dma.o,0.059829%,134,0,134,0,0,0
strcmpv7em.o,0.055364%,124,0,124,0,0,0
tim.o,0.051792%,116,72,116,0,0,72
lv_theme.o,0.051792%,116,0,116,0,0,0
strtol.o,0.050006%,112,0,112,0,0,0
lv_draw_rect.o,0.050006%,112,0,112,0,0,0
rt_memcpy_w.o,0.044648%,100,0,100,0,0,0
dfix.o,0.041970%,94,0,94,0,0,0
__scatter.o,0.041970%,94,0,94,0,0,0
lv_img_cache.o,0.038398%,86,0,86,0,0,0
lv_list.o,0.037505%,84,0,0,84,0,0
rt_memclr_w.o,0.034826%,78,0,78,0,0,0
lv_btn.o,0.034826%,78,0,50,28,0,0
sys_stackheap_outer.o,0.033040%,74,0,74,0,0,0
strcpy.o,0.032147%,72,0,72,0,0,0
w25qxx.o,0.030807%,69,1,68,0,1,0
strtok_int.o,0.030361%,68,0,68,0,0,0
lv_utils.o,0.028575%,64,0,64,0,0,0
lv_indev_scroll.o,0.028575%,64,0,64,0,0,0
strlen.o,0.027682%,62,0,62,0,0,0
stm32f4xx_hal_msp.o,0.025003%,56,0,56,0,0,0
lv_msgbox.o,0.025003%,56,0,0,56,0,0
lv_draw_transform.o,0.023217%,52,0,52,0,0,0
lv_hal_tick.o,0.021431%,48,8,48,0,0,8
dflt_clz.o,0.020538%,46,0,46,0,0,0
lv_draw_line.o,0.020538%,46,0,46,0,0,0
system_stm32f4xx.o,0.019645%,44,4,16,24,4,0
strcspn.o,0.014288%,32,0,32,0,0,0
strspn.o,0.012502%,28,0,28,0,0,0
_chval.o,0.012502%,28,0,28,0,0,0
__scatter_zi.o,0.012502%,28,0,28,0,0,0
fpinit.o,0.011609%,26,0,26,0,0,0
atoi.o,0.011609%,26,0,26,0,0,0
__scatter_copy.o,0.011609%,26,0,26,0,0,0
libinit2.o,0.010716%,24,0,24,0,0,0
gui_guider.o,0.010716%,24,0,24,0,0,0
exit.o,0.008037%,18,0,18,0,0,0
strtok.o,0.007144%,16,4,12,0,4,0
rt_ctype_table.o,0.007144%,16,0,16,0,0,0
aeabi_memset4.o,0.007144%,16,0,16,0,0,0
lv_hal_indev.o,0.007144%,16,0,16,0,0,0
lv_extra.o,0.006251%,14,0,14,0,0,0
dretinf.o,0.005358%,12,0,12,0,0,0
sys_exit.o,0.005358%,12,0,12,0,0,0
__rtentry2.o,0.005358%,12,0,12,0,0,0
rtexit2.o,0.004465%,10,0,10,0,0,0
lv_draw.o,0.004465%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.003572%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.003572%,8,0,8,0,0,0
libspace.o,0.003572%,8,96,8,0,0,96
__main.o,0.003572%,8,0,8,0,0,0
heapauxi.o,0.002679%,6,0,6,0,0,0
__rtentry4.o,0.002679%,6,0,6,0,0,0
stm32f4xx_hal_tim_ex.o,0.001786%,4,0,4,0,0,0
use_no_semi.o,0.000893%,2,0,2,0,0,0
rtexit.o,0.000893%,2,0,2,0,0,0
libshutdown2.o,0.000893%,2,0,2,0,0,0
libshutdown.o,0.000893%,2,0,2,0,0,0
libinit.o,0.000893%,2,0,2,0,0,0
